통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,대구광역시,서구,생활보조금,,,202503,대구광역시,서구,생활보조금,2,,202502,대구광역시,서구,생활보조금,2,,202412,부산광역시,강서구,아동양육비,688,,202501,대구광역시,서구,아동양육비,1101
통합,대구광역시,서구,추가아동양육비,,,202503,대구광역시,서구,추가아동양육비,119,,202502,대구광역시,서구,추가아동양육비,118,,202412,부산광역시,강서구,추가아동양육비,64,,202501,대구광역시,서구,생활보조금,1
통합,대구광역시,남구,아동양육비,,,202503,대구광역시,남구,아동양육비,1009,,202502,대구광역시,남구,아동양육비,984,,202412,부산광역시,연제구,아동양육비,996,,202501,대구광역시,서구,추가아동양육비,121
통합,대구광역시,남구,추가아동양육비,,,202503,대구광역시,남구,추가아동양육비,109,,202502,대구광역시,남구,추가아동양육비,115,,202412,부산광역시,연제구,생활보조금,2,,202501,대구광역시,남구,아동양육비,978
통합,대구광역시,북구,아동양육비,,,202503,대구광역시,북구,아동양육비,2134,,202502,대구광역시,북구,아동양육비,2120,,202412,부산광역시,연제구,추가아동양육비,100,,202501,대구광역시,남구,추가아동양육비,116
통합,대구광역시,북구,추가아동양육비,,,202503,대구광역시,북구,추가아동양육비,202,,202502,대구광역시,북구,추가아동양육비,203,,202412,부산광역시,수영구,아동양육비,763,,202501,대구광역시,북구,아동양육비,2097
통합,대구광역시,수성구,아동양육비,,,202503,대구광역시,수성구,아동양육비,1504,,202502,대구광역시,수성구,아동양육비,1495,,202412,부산광역시,수영구,추가아동양육비,79,,202501,대구광역시,북구,추가아동양육비,195
통합,대구광역시,수성구,추가아동양육비,,,202503,대구광역시,수성구,추가아동양육비,133,,202502,대구광역시,수성구,추가아동양육비,133,,202412,부산광역시,사상구,아동양육비,1112,,202501,대구광역시,수성구,아동양육비,1460
통합,대구광역시,달서구,아동양육비,,,202503,대구광역시,달서구,아동양육비,2500,,202502,대구광역시,달서구,아동양육비,2488,,202412,부산광역시,사상구,추가아동양육비,118,,202501,대구광역시,수성구,추가아동양육비,122
통합,대구광역시,달서구,생활보조금,,,202503,대구광역시,달서구,생활보조금,5,,202502,대구광역시,달서구,생활보조금,4,,202412,부산광역시,사상구,학용품비,9,,202501,대구광역시,달서구,아동양육비,2458
통합,대구광역시,달서구,추가아동양육비,,,202503,대구광역시,달서구,추가아동양육비,282,,202502,대구광역시,달서구,추가아동양육비,281,,202412,부산광역시,기장군,아동양육비,1338,,202501,대구광역시,달서구,생활보조금,3
통합,대구광역시,달성군,아동양육비,,,202503,대구광역시,달성군,아동양육비,1563,,202502,대구광역시,달성군,아동양육비,1545,,202412,부산광역시,기장군,추가아동양육비,89,,202501,대구광역시,달서구,추가아동양육비,275
통합,대구광역시,달성군,추가아동양육비,,,202503,대구광역시,달성군,추가아동양육비,167,,202502,대구광역시,달성군,추가아동양육비,175,,202412,대구광역시,중구,아동양육비,322,,202501,대구광역시,달성군,아동양육비,1540
통합,대구광역시,군위군,아동양육비,,,202503,대구광역시,군위군,아동양육비,60,,202502,대구광역시,군위군,아동양육비,60,,202412,대구광역시,중구,생활보조금,1,,202501,대구광역시,달성군,추가아동양육비,177
통합,대구광역시,군위군,추가아동양육비,,,202503,대구광역시,군위군,추가아동양육비,8,,202502,대구광역시,군위군,추가아동양육비,8,,202412,대구광역시,중구,추가아동양육비,32,,202501,대구광역시,군위군,아동양육비,60
통합,인천광역시,중구,아동양육비,,,202503,인천광역시,중구,아동양육비,815,,202502,인천광역시,중구,아동양육비,796,,202412,대구광역시,동구,아동양육비,1699,,202501,대구광역시,군위군,추가아동양육비,8
통합,인천광역시,중구,추가아동양육비,,,202503,인천광역시,중구,추가아동양육비,103,,202502,인천광역시,중구,추가아동양육비,97,,202412,대구광역시,동구,추가아동양육비,163,,202501,인천광역시,중구,아동양육비,863
